Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Lenovo,Lenovo Tab E7,TB7104F,973MB,Tablet,Mediatek MT8167A,600x1024,160,armeabi-v7a;armeabi,27,3.2
Lenovo,Lenovo Tab E7,TB7104I,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
Lenovo,Lenovo Smart Tab M8,8705F,3686MB,Tablet,Mediatek MT8768T,1200x1920,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo K8,brady_f,2848-2849MB,Phone,Mediatek MT6757,720x1280,320,armeabi-v7a;armeabi,25;26,3.2
Lenovo,Lenovo Tab M7,7305F,953MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,28,2.0
Lenovo,Lenovo Tab M7,7305I,953MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,28,2.0
Lenovo,K5 Note,A7020a48,2796-3805MB,Phone,Mediatek MT6752M,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0
Lenovo,K5 Note,k52_e78,2780-2782MB,Phone,Mediatek MT6752M,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0
Lenovo,K5 Note,A7020a40,2797-2798MB,Phone,Mediatek MT6752M,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0
Lenovo,K5 Note,austin2018,3545MB,Phone,Qualcomm SDM450,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Lenovo,Lenovo K8 Plus,marino_f,2795-2801MB,Phone,Mediatek MT6757,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2
Lenovo,K5X,kunlun,3718-5715MB,Phone,Qualcomm SDM636,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Lenovo,Lenovo Tab P10,X705L,3568MB,Tablet,Qualcomm SDM450,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Lenovo,Lenovo Tab P10,X705F,3568MB,Tablet,Qualcomm SDM450,1200x1920;1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,27;28,3.2
Lenovo,Lenovo Tab M10 FHD Plus,X606F,3751MB,Tablet,Mediatek MT8768A,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo Tab M10 FHD Plus,X606X,3659MB,Tablet,Mediatek MT8768T,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,Lenovo TAB4 8,TB-8504N,1878MB,Tablet,Qualcomm APQ8016,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,25,3.0
Lenovo,Lenovo TAB4 8,TB-8504F,1869-1920MB,Tablet,Qualcomm MSM8953,1280x800;800x1280,213,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
Lenovo,Lenovo TAB4 8,TB-8504X,1869-1878MB,Tablet,Qualcomm MSM8960,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
Lenovo,TAB4 8,TB-8504L,1878MB,Tablet,Qualcomm MSM8953,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,25,3.0
Lenovo,TBD,kunlun2,3680MB,Phone,Qualcomm SDM710,1080x2340,480,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Lenovo,LenovoTB-X104F1,X104F1,2916MB,Tablet,Qualcomm APQ8009,800x1280,160,armeabi-v7a;armeabi,27,3.0
